timesteps,ep_rew_mean,ep_len_mean
30311,0.9561,12.5
30324,0.9557,12.6
30336,0.9557,12.6
30350,0.9554,12.7
30363,0.955,12.8
30375,0.9554,12.7
30387,0.9554,12.7
30399,0.9557,12.6
30411,0.9564,12.4
30424,0.9561,12.5
30437,0.9557,12.6
30450,0.9557,12.6
30462,0.9557,12.6
30474,0.9564,12.4
30486,0.9568,12.3
30498,0.9568,12.3
30511,0.9564,12.4
30523,0.9564,12.4
30535,0.9564,12.4
30548,0.9564,12.4
30562,0.9561,12.5
30575,0.9561,12.5
30588,0.9557,12.6
30600,0.9557,12.6
30613,0.9554,12.7
30625,0.9554,12.7
30637,0.9557,12.6
30649,0.9557,12.6
30661,0.9557,12.6
30673,0.9561,12.5
30685,0.9568,12.3
30697,0.9571,12.2
30710,0.9571,12.2
30722,0.9571,12.2
30734,0.9575,12.1
30746,0.9575,12.1
30758,0.9575,12.1
30770,0.9575,12.1
30782,0.9575,12.1
30795,0.9571,12.2
30807,0.9571,12.2
30819,0.9571,12.2
30832,0.9571,12.2
30844,0.9571,12.2
30856,0.9571,12.2
30868,0.9571,12.2
30880,0.9571,12.2
30892,0.9571,12.2
30906,0.9564,12.4
30919,0.9564,12.4
30931,0.9564,12.4
30943,0.9564,12.4
30956,0.9564,12.4
30968,0.9564,12.4
30980,0.9564,12.4
30992,0.9564,12.4
31004,0.9564,12.4
31016,0.9564,12.4
31028,0.9571,12.2
31040,0.9575,12.1
31052,0.9575,12.1
31064,0.9575,12.1
31078,0.9571,12.2
31091,0.9568,12.3
31103,0.9568,12.3
31115,0.9568,12.3
31127,0.9568,12.3
31139,0.9568,12.3
31151,0.9568,12.3
31163,0.9568,12.3
31175,0.9568,12.3
31187,0.9568,12.3
31200,0.9571,12.2
31212,0.9575,12.1
31225,0.9571,12.2
31239,0.9564,12.4
31253,0.9557,12.6
31266,0.9554,12.7
31281,0.9543,13.0
31293,0.9543,13.0
31305,0.9543,13.0
31317,0.9543,13.0
31329,0.9546,12.9
31341,0.9546,12.9
31354,0.9546,12.9
31368,0.9546,12.9
31380,0.9554,12.7
31392,0.9557,12.6
31404,0.9568,12.3
31416,0.9568,12.3
31428,0.9568,12.3
31441,0.9564,12.4
31453,0.9564,12.4
31465,0.9564,12.4
31477,0.9568,12.3
31489,0.9575,12.1
31501,0.9575,12.1
31513,0.9575,12.1
31525,0.9575,12.1
31537,0.9575,12.1
31549,0.9575,12.1
31561,0.9578,12.0
31575,0.9571,12.2
31587,0.9571,12.2
31601,0.9564,12.4
31615,0.9557,12.6
31627,0.9557,12.6
31642,0.9546,12.9
31655,0.9543,13.0
31668,0.9539,13.1
31680,0.9539,13.1
31692,0.9539,13.1
31704,0.9546,12.9
31717,0.9543,13.0
31729,0.955,12.8
31741,0.9557,12.6
31754,0.9554,12.7
31766,0.9564,12.4
31781,0.9557,12.6
31793,0.9561,12.5
31805,0.9561,12.5
31817,0.9561,12.5
31831,0.9554,12.7
31843,0.9557,12.6
31856,0.9554,12.7
31868,0.9554,12.7
31880,0.9557,12.6
31892,0.9557,12.6
31905,0.9564,12.4
31917,0.9564,12.4
31929,0.9564,12.4
31941,0.9564,12.4
31953,0.9571,12.2
31965,0.9571,12.2
31978,0.9571,12.2
31991,0.9568,12.3
32004,0.9564,12.4
32016,0.9564,12.4
32028,0.9568,12.3
32040,0.9568,12.3
32052,0.9568,12.3
32064,0.9568,12.3
32076,0.9568,12.3
32088,0.9568,12.3
32100,0.9571,12.2
32112,0.9575,12.1
32125,0.9575,12.1
32137,0.9575,12.1
32150,0.9571,12.2
32162,0.9571,12.2
32180,0.955,12.8
32192,0.955,12.8
32204,0.955,12.8
32216,0.955,12.8
32228,0.955,12.8
32240,0.955,12.8
32253,0.955,12.8
32265,0.955,12.8
32277,0.9554,12.7
32289,0.9554,12.7
32301,0.9575,12.1
32313,0.9575,12.1
32326,0.9571,12.2
32338,0.9571,12.2
32350,0.9571,12.2
32362,0.9571,12.2
32374,0.9575,12.1
32387,0.9571,12.2
32399,0.9571,12.2
32411,0.9571,12.2
32424,0.9568,12.3
32437,0.9564,12.4
32451,0.9561,12.5
32463,0.9561,12.5
32475,0.9561,12.5
32488,0.9557,12.6
32500,0.9557,12.6
