timesteps,ep_rew_mean,ep_len_mean
27249,1.0,8.6
27260,1.0,8.4
27277,1.0,8.6
27282,1.0,8.1
27289,1.0,8.3
27294,1.0,8.3
27306,1.0,8.9
27314,1.0,9.0
27319,1.0,9.0
27329,1.0,9.3
27335,1.0,8.6
27343,1.0,8.3
27354,1.0,7.7
27364,1.0,8.2
27373,1.0,8.4
27385,1.0,9.1
27400,1.0,9.4
27406,1.0,9.2
27413,1.0,9.4
27421,1.0,9.2
27429,1.0,9.4
27437,1.0,9.4
27449,1.0,9.5
27456,1.0,9.2
27463,1.0,9.0
27471,1.0,8.6
27480,1.0,8.0
27485,1.0,7.9
27502,1.0,8.9
27508,1.0,8.7
27515,1.0,8.6
27530,1.0,9.3
27546,1.0,9.7
27555,1.0,9.9
27565,1.0,10.2
27572,1.0,10.1
27579,1.0,9.9
27598,1.0,11.3
27603,1.0,10.1
27615,1.0,10.7
27628,1.0,11.3
27643,1.0,11.3
27651,1.0,10.5
27656,1.0,10.1
27662,1.0,9.7
27670,1.0,9.8
27680,1.0,10.1
27691,1.0,9.3
27697,1.0,9.4
27703,1.0,8.8
27713,1.0,8.5
27724,1.0,8.1
27735,1.0,8.4
27744,1.0,8.8
27750,1.0,8.8
27773,1.0,10.3
27782,1.0,10.2
27796,1.0,10.5
27803,1.0,10.6
27813,1.0,11.0
27823,1.0,11.0
27828,1.0,10.4
27844,1.0,10.9
27853,1.0,10.9
27866,1.0,11.6
27874,1.0,10.1
27889,1.0,10.7
27896,1.0,10.0
27901,1.0,9.8
27912,1.0,9.9
27934,1.0,11.1
27940,1.0,11.2
27945,1.0,10.1
27974,1.0,12.1
27982,1.0,11.6
28000,1.0,12.6
28013,1.0,12.4
28029,1.0,13.3
28035,1.0,13.4
28050,1.0,13.8
28058,1.0,12.4
28072,1.0,13.2
28081,1.0,13.6
28092,1.0,11.8
28102,1.0,12.0
28110,1.0,11.0
28125,1.0,11.2
28137,1.0,10.8
28146,1.0,11.1
28159,1.0,10.9
28168,1.0,11.0
28180,1.0,10.8
28186,1.0,10.5
28193,1.0,10.1
28198,1.0,9.6
28208,1.0,9.8
28216,1.0,9.1
28226,1.0,8.9
28234,1.0,8.8
28244,1.0,8.5
28257,1.0,8.9
28264,1.0,8.4
28288,1.0,10.2
28298,1.0,10.5
28303,1.0,10.5
28313,1.0,10.5
28319,1.0,10.3
28328,1.0,10.2
28336,1.0,10.2
28344,1.0,10.0
28352,1.0,9.5
28364,1.0,10.0
28374,1.0,8.6
28389,1.0,9.1
28396,1.0,9.3
28407,1.0,9.4
28415,1.0,9.6
28428,1.0,10.0
28437,1.0,10.1
28451,1.0,10.7
28460,1.0,10.8
28479,1.0,11.5
28492,1.0,11.8
28503,1.0,11.4
28516,1.0,12.0
28521,1.0,11.4
28531,1.0,11.6
28543,1.0,11.5
28577,1.0,14.0
28583,1.0,13.2
28592,1.0,13.2
28600,0.8,12.1
28605,0.8,11.3
28613,0.8,11.0
28624,0.8,10.8
28637,0.8,11.6
28650,0.8,11.9
28656,0.8,11.3
28661,0.8,8.4
28675,0.8,9.2
28686,0.8,9.4
28693,1.0,9.3
28700,1.0,9.5
28707,1.0,9.4
28717,1.0,9.3
28728,1.0,9.1
28739,1.0,8.9
28747,1.0,9.1
28752,1.0,9.1
